time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
18399,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
18399,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
18399,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
18399,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
18399,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
18399,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
18399,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
18962,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
18962,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
18962,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
18962,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
18962,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
18962,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
18962,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
18962,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
19525,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
19525,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
19525,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
19525,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
19525,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
19525,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
19525,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
19525,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
20073,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
20073,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
20073,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
20073,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
20073,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
20073,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
20073,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
20073,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
20621,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
20621,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
20621,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
20621,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
20621,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
20621,2,3,0,2,3,500000002,8192,2048,1,1,0.25,0
20621,3,4,0,3,4,500000002,8192,2048,1,1,0.25,0
20621,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
21169,6,7,0,6,7,500000002,8192,2048,1,1,0.25,0
21169,7,0,0,7,0,500000002,8192,2048,1,1,0.25,0
21169,0,1,0,0,1,500000002,8192,2048,1,1,0.25,0
21169,1,2,0,1,2,500000002,8192,2048,1,1,0.25,0
